Farmer Code,Date,Shift,Cow/Buff,Qty,Rate,Amount,Fat,KiloFat,CanNo,EntryDt,c_KiloFat,c_KiloQty,,
123,01-04-2017 00:00,M,C,12.64,26.66,336.98,3.9,49.3,12,01-04-2017 09:56,0.49296,12.64,,
57,01-04-2017 00:00,M,B,1.3,41.61,54.09,7.3,9.49,1,01-04-2017 09:57,0.0949,1.3,,
113,01-04-2017 00:00,M,C,1.42,30.82,43.76,5.4,7.67,1,01-04-2017 08:39,0.07668,1.42,,
3,01-04-2017 00:00,M,C,3.32,28.33,94.06,4.5,14.94,1,01-04-2017 08:40,0.1494,3.32,,
20,01-04-2017 00:00,M,B,1.56,38.76,60.47,6.8,10.61,1,01-04-2017 08:48,0.10608,1.56,,
71,01-04-2017 00:00,M,C,4.66,25.83,120.37,3.6,16.78,1,01-04-2017 08:50,0.16776,4.66,,
45,01-04-2017 00:00,M,C,2.64,30.82,81.36,5.4,14.26,1,01-04-2017 08:52,0.14256,2.64,,
126,01-04-2017 00:00,M,C,3,26.1,78.3,3.7,11.1,2,01-04-2017 08:54,0.111,3,,
1,01-04-2017 00:00,M,C,9.1,28.6,260.26,4.6,41.86,2,01-04-2017 08:55,0.4186,9.1,,
76,01-04-2017 00:00,M,C,4.56,27.21,124.08,4.1,18.7,2,01-04-2017 08:59,0.18696,4.56,,
7,01-04-2017 00:00,M,C,5.58,29.99,167.34,5.1,28.46,2,01-04-2017 09:00,0.28458,5.58,,
53,01-04-2017 00:00,M,C,15.16,29.44,446.31,4.9,74.28,2,01-04-2017 09:04,0.74284,15.16,,
24,01-04-2017 00:00,M,C,2.06,26.38,54.34,3.8,7.83,2,01-04-2017 09:05,0.07828,2.06,,
140,01-04-2017 00:00,M,C,18.36,28.33,520.14,4.5,82.62,3,01-04-2017 09:06,0.8262,18.36,,
41,01-04-2017 00:00,M,C,2.72,27.21,74.01,4.1,11.15,3,01-04-2017 09:07,0.11152,2.72,,
133,01-04-2017 00:00,M,C,11.44,27.77,317.69,4.3,49.19,3,01-04-2017 09:08,0.49192,11.44,,
153,01-04-2017 00:00,M,B,1.34,35.91,48.12,6.3,8.44,1,01-04-2017 09:13,0.08442,1.34,,
38,01-04-2017 00:00,M,C,5.84,27.49,160.54,4.2,24.53,3,01-04-2017 09:14,0.24528,5.84,,
23,01-04-2017 00:00,M,B,5.92,43.32,256.45,7.6,44.99,1,01-04-2017 09:17,0.44992,5.92,,
70,01-04-2017 00:00,M,C,6.9,28.88,199.27,4.7,32.43,4,01-04-2017 09:18,0.3243,6.9,,
19,01-04-2017 00:00,M,C,7.2,29.16,209.95,4.8,34.56,4,01-04-2017 09:19,0.3456,7.2,,
42,01-04-2017 00:00,M,B,2.46,58.71,144.43,10.3,25.34,1,01-04-2017 09:20,0.25338,2.46,,
73,01-04-2017 00:00,M,B,3.28,39.33,129,6.9,22.63,1,01-04-2017 09:21,0.22632,3.28,,
108,01-04-2017 00:00,M,C,4.66,28.05,130.71,4.4,20.5,4,01-04-2017 09:22,0.20504,4.66,,
55,01-04-2017 00:00,M,C,0.48,28.88,13.86,4.7,2.26,4,01-04-2017 09:22,0.02256,0.48,,
4,01-04-2017 00:00,M,C,11.3,27.77,313.8,4.3,48.59,4,01-04-2017 09:24,0.4859,11.3,,
36,01-04-2017 00:00,M,C,5.84,29.71,173.51,5,29.2,4,01-04-2017 09:25,0.292,5.84,,
50,01-04-2017 00:00,M,C,10.38,27.21,282.44,4.1,42.56,5,01-04-2017 09:26,0.42558,10.38,,
119,01-04-2017 00:00,M,C,4.92,28.33,139.38,4.5,22.14,5,01-04-2017 09:27,0.2214,4.92,,
29,01-04-2017 00:00,M,C,4.24,25.55,108.33,3.5,14.84,5,01-04-2017 09:28,0.1484,4.24,,
52,01-04-2017 00:00,M,B,0.62,41.04,25.44,7.2,4.46,1,01-04-2017 09:30,0.04464,0.62,,
155,01-04-2017 00:00,M,C,7,27.77,194.39,4.3,30.1,5,01-04-2017 09:31,0.301,7,,
125,01-04-2017 00:00,M,C,11.7,27.77,324.91,4.3,50.31,5,01-04-2017 09:32,0.5031,11.7,,
67,01-04-2017 00:00,M,C,17.7,26.38,466.93,3.8,67.26,6,01-04-2017 09:33,0.6726,17.7,,
97,01-04-2017 00:00,M,C,16.4,28.88,473.63,4.7,77.08,6,01-04-2017 09:34,0.7708,16.4,,
158,01-04-2017 00:00,M,C,21.16,28.6,605.18,4.6,97.34,7,01-04-2017 09:35,0.97336,21.16,,
78,01-04-2017 00:00,M,C,3.54,31.66,112.08,5.7,20.18,7,01-04-2017 09:36,0.20178,3.54,,
154,01-04-2017 00:00,M,C,1.26,26.94,33.94,4,5.04,7,01-04-2017 09:36,0.0504,1.26,,
27,01-04-2017 00:00,M,C,21.58,26.66,575.32,3.9,84.16,7,01-04-2017 09:37,0.84162,21.58,,
31,01-04-2017 00:00,M,C,6,28.05,168.3,4.4,26.4,7,01-04-2017 09:38,0.264,6,,
25,01-04-2017 00:00,M,C,40.52,29.99,1215.19,5.1,206.65,13,01-04-2017 09:58,2.06652,40.52,,
5,01-04-2017 00:00,M,B,5.52,42.75,235.98,7.5,41.4,2,01-04-2017 09:59,0.414,5.52,,
5,01-04-2017 00:00,M,C,8,28.33,226.64,4.5,36,13,01-04-2017 10:00,0.36,8,,
157,01-04-2017 00:00,M,C,1.4,30.27,42.38,5.2,7.28,13,01-04-2017 10:01,0.0728,1.4,,
159,01-04-2017 00:00,M,B,9.04,37.05,334.93,6.5,58.76,2,01-04-2017 10:02,0.5876,9.04,,
